Tm,#Bat,BatAge,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,LOB
ARI,26,29.2,7.00,8,335,308,56,93,26,1,19,53,6,1,23,71,.302,.347,.578,.925,139,178,7,0,0,3,3,54
ATL,27,28.2,5.43,7,270,226,38,61,11,1,9,34,4,4,39,57,.270,.379,.447,.826,116,101,5,2,0,2,2,55
BAL,13,26.9,4.14,7,259,236,29,57,9,1,7,25,3,1,19,71,.242,.305,.377,.682,99,89,5,3,0,1,1,41
BOS,16,27.9,4.56,9,349,317,41,79,17,1,10,37,7,1,28,70,.249,.313,.404,.717,111,128,7,2,1,1,1,64
CHC,24,28.4,6.57,7,293,254,46,78,12,0,12,44,2,2,33,60,.307,.394,.496,.890,134,126,8,4,1,1,0,58
CHW,13,27.3,6.00,6,235,207,36,50,11,0,7,34,3,0,24,52,.242,.329,.396,.725,111,82,5,3,1,0,0,40
CIN,25,28.8,1.57,7,239,217,11,34,12,0,3,11,0,2,20,65,.157,.234,.253,.488,26,55,3,2,0,0,1,42
CLE,13,28.6,2.86,7,240,212,20,36,7,0,4,19,1,0,24,75,.170,.251,.259,.510,50,55,3,0,1,3,2,38
COL,26,28.5,2.88,8,291,267,23,56,12,1,5,22,1,2,19,79,.210,.266,.318,.584,51,85,5,2,1,2,0,46
DET,12,28.5,2.12,8,296,259,17,43,15,1,2,16,4,1,32,89,.166,.264,.255,.518,52,66,2,3,0,2,1,57
HOU,13,29.6,2.25,8,287,258,18,62,12,0,7,18,5,6,25,59,.240,.311,.368,.679,99,95,8,2,1,1,0,56
KCR,13,28.3,5.00,6,225,203,30,48,9,5,4,28,5,1,15,44,.236,.295,.389,.684,99,79,2,3,1,3,0,36
LAA,12,30.9,2.50,8,280,255,20,48,11,0,5,20,1,0,21,46,.188,.257,.290,.547,60,74,10,3,0,1,2,47
LAD,25,28.5,8.12,8,340,283,65,84,14,1,21,64,1,1,43,57,.297,.394,.576,.970,152,163,5,5,5,4,2,62
MIA,26,28.6,3.25,8,286,262,26,62,12,0,7,26,2,2,17,67,.237,.295,.363,.657,79,95,8,5,1,1,0,50
MIL,25,29.5,5.12,8,300,259,41,67,12,0,15,41,5,1,37,69,.259,.355,.479,.833,112,124,10,2,0,1,5,55
MIN,20,28.2,4.67,6,232,204,28,55,18,2,3,26,1,1,18,53,.270,.349,.422,.771,127,86,5,8,0,2,1,45
NYM,25,27.7,5.29,7,280,254,37,65,12,2,4,34,3,1,22,78,.256,.323,.366,.689,81,93,3,3,1,0,2,54
NYY,14,27.6,4.00,7,269,229,28,56,7,0,10,26,3,2,34,72,.245,.349,.406,.756,118,93,4,4,0,2,1,58
OAK,14,28.4,3.91,11,407,366,43,84,12,1,15,42,4,1,36,73,.230,.305,.391,.695,104,143,9,4,0,1,2,76
PHI,25,28.0,8.17,6,245,200,49,56,14,1,10,47,1,1,40,53,.280,.404,.510,.914,138,102,2,3,0,2,9,46
PIT,25,29.1,3.50,6,237,201,21,44,10,1,3,21,6,0,29,45,.219,.325,.323,.648,71,65,6,3,3,1,1,51
SDP,25,26.7,3.50,8,283,254,28,61,12,0,9,28,4,1,25,66,.240,.307,.394,.701,87,100,5,1,0,3,2,51
SEA,15,28.9,7.11,9,368,312,64,82,19,1,21,63,11,1,41,81,.263,.354,.532,.886,163,166,3,7,1,7,0,67
SFG,26,30.2,2.38,8,282,262,19,54,16,0,5,19,2,1,13,68,.206,.262,.324,.587,54,85,5,7,0,0,0,47
STL,26,29.1,4.71,7,278,247,33,52,10,1,14,30,4,1,25,79,.211,.293,.429,.723,86,106,1,4,2,0,1,47
TBR,19,26.7,3.38,8,293,266,27,59,13,0,7,26,8,0,21,87,.222,.288,.350,.637,89,93,1,4,1,1,1,59
TEX,12,28.8,5.75,8,297,258,46,64,11,2,13,45,6,3,35,78,.248,.343,.457,.801,122,118,4,3,0,1,0,46
TOR,18,26.5,2.89,9,318,283,26,51,10,2,8,24,0,1,28,81,.180,.265,.314,.579,72,89,4,5,1,1,1,49
WSN,25,28.6,4.83,6,226,201,29,49,12,0,8,28,7,0,17,69,.244,.316,.423,.738,85,85,1,5,1,2,0,40
LgAvg,20,28.4,4.40,8,285,252,33,60,13,1,9,32,4,1,27,67,.237,.317,.399,.716,97,101,5,3,1,2,1,51
,597,28.4,4.40,226,8540,7560,995,1790,378,25,267,951,110,39,803,2014,.237,.317,.399,.716,97,3019,146,102,23,49,41,1537
