Tm,#P,PAge,RA/G,W,L,W-L%,ERA,G,GS,GF,CG,tSho,cSho,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,LOB
ARI,14,29.3,7.75,4,4,.500,7.25,8,8,8,0,0,0,3,72.0,84,62,58,21,39,1,59,5,0,5,339,64,6.97,1.708,10.5,2.6,4.9,7.4,1.51,61
ATL,15,26.4,4.43,4,3,.571,4.65,7,7,7,0,2,0,1,60.0,51,31,31,11,37,3,61,3,0,5,258,103,5.33,1.467,7.7,1.7,5.6,9.2,1.65,47
BAL,14,28.6,4.86,4,3,.571,4.87,7,7,7,0,0,0,4,61.0,62,34,33,13,33,0,57,3,0,3,269,85,5.65,1.557,9.1,1.9,4.9,8.4,1.73,52
BOS,14,29.3,7.44,2,7,.222,7.18,9,9,9,0,0,0,2,74.0,90,67,59,23,37,2,75,5,0,3,356,55,6.70,1.716,10.9,2.8,4.5,9.1,2.03,67
CHC,13,31.6,8.43,1,6,.143,7.85,7,7,7,0,0,0,0,57.1,75,59,50,16,46,2,58,0,0,5,285,59,6.99,2.110,11.8,2.5,7.2,9.1,1.26,54
CHW,12,27.2,5.33,3,3,.500,5.12,6,6,6,0,0,0,2,51.0,43,32,29,5,20,1,48,2,0,2,222,82,3.67,1.235,7.6,0.9,3.5,8.5,2.40,37
CIN,13,29.2,3.00,1,6,.143,2.80,7,7,7,0,0,0,1,61.0,50,21,19,2,31,3,59,2,1,2,260,178,3.10,1.328,7.4,0.3,4.6,8.7,1.90,56
CLE,12,29.9,3.71,4,3,.571,3.25,7,7,7,0,0,0,3,61.0,43,26,22,4,25,2,74,7,0,0,255,126,2.98,1.115,6.3,0.6,3.7,10.9,2.96,46
COL,14,28.6,4.38,3,5,.375,4.24,8,8,8,0,1,0,0,70.0,63,35,33,10,30,1,68,4,0,5,304,114,4.35,1.329,8.1,1.3,3.9,8.7,2.27,59
DET,13,28.9,2.62,5,3,.625,2.25,8,8,8,0,1,0,5,72.0,47,21,18,5,20,1,81,4,0,1,282,183,2.63,0.931,5.9,0.6,2.5,10.1,4.05,45
