Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,New Orleans Pelicans,59,240.0,43.3,90.6,.478,10.0,28.8,.348,33.3,61.9,.538,19.0,24.6,.773,10.9,36.0,47.0,26.8,7.1,5.7,14.3,21.4,115.6
2,Golden State Warriors,57,241.8,44.2,89.9,.491,12.9,33.5,.384,31.3,56.4,.555,17.6,21.7,.812,10.1,36.3,46.4,29.5,7.5,6.5,13.9,21.6,118.8
3,Toronto Raptors,59,242.1,42.2,89.7,.470,11.5,33.3,.346,30.6,56.4,.543,18.5,22.9,.805,10.3,34.9,45.2,24.7,8.5,5.3,13.9,21.4,114.3
4,Los Angeles Clippers,59,242.1,41.1,87.0,.472,9.6,24.8,.388,31.4,62.2,.505,22.5,28.5,.790,9.6,35.6,45.1,23.3,6.5,4.8,14.6,23.1,114.3
5,Philadelphia 76ers,58,242.2,41.5,87.3,.475,11.3,31.2,.361,30.2,56.1,.538,21.7,28.0,.775,10.4,36.5,47.0,27.4,7.7,5.5,15.5,21.9,115.9
6,Milwaukee Bucks,57,240.9,43.3,90.2,.480,13.1,37.4,.349,30.2,52.8,.572,17.3,22.5,.769,9.0,39.8,48.8,26.2,7.8,5.9,14.2,20.0,116.9
7,San Antonio Spurs,59,241.7,42.2,88.2,.479,10.2,24.9,.409,32.0,63.3,.506,17.8,21.6,.823,9.3,34.8,44.1,24.7,6.2,4.4,12.5,18.5,112.3
8,Brooklyn Nets,59,244.2,40.4,89.5,.451,12.5,35.0,.358,27.8,54.5,.511,19.1,25.3,.752,11.2,34.9,46.1,24.0,6.6,4.2,15.3,21.7,112.3
9,Washington Wizards,58,243.4,42.1,89.7,.470,11.6,33.4,.348,30.5,56.4,.542,18.0,23.7,.761,8.9,31.9,40.9,26.6,8.7,4.8,14.1,21.3,113.9
10,Oklahoma City Thunder,57,241.3,43.1,93.2,.462,10.9,30.8,.352,32.2,62.4,.517,18.4,25.6,.716,12.2,35.8,47.9,23.4,10.2,5.3,14.2,22.3,115.4
11,Boston Celtics,58,241.7,42.1,90.5,.465,13.1,35.3,.372,29.0,55.2,.525,15.7,19.3,.813,10.2,34.9,45.1,26.4,8.8,5.7,13.2,20.6,113.0
12,Sacramento Kings,57,240.4,43.1,92.5,.466,11.4,30.2,.378,31.6,62.2,.508,15.9,22.3,.713,10.9,34.1,45.0,25.6,8.4,4.7,14.1,21.9,113.4
13,Portland Trail Blazers,57,241.8,41.7,90.0,.464,11.2,30.7,.363,30.6,59.3,.516,18.7,22.9,.816,11.2,36.3,47.6,22.8,6.6,5.0,14.0,20.5,113.3
14,Houston Rockets,57,242.2,38.8,87.0,.446,15.6,44.8,.348,23.2,42.1,.551,19.9,25.4,.782,10.7,30.9,41.6,20.8,8.4,5.3,13.8,22.7,113.1
15,Atlanta Hawks,58,240.4,40.5,89.6,.453,12.1,35.0,.345,28.4,54.6,.521,17.5,23.3,.748,11.4,33.6,45.0,25.5,8.3,5.1,18.3,23.6,110.6
16,Los Angeles Lakers,57,241.8,42.8,90.5,.473,10.3,30.5,.339,32.5,60.0,.541,16.2,23.6,.687,10.1,36.9,47.0,24.9,7.5,5.5,15.9,20.7,112.2
17,Denver Nuggets,57,240.9,42.5,90.1,.472,11.0,31.0,.354,31.5,59.1,.533,16.1,21.2,.758,12.1,34.2,46.3,27.6,7.7,4.5,13.4,20.0,112.0
18,Minnesota Timberwolves,57,241.3,41.1,91.1,.452,10.0,28.5,.352,31.1,62.5,.497,19.6,24.6,.796,11.8,33.3,45.1,24.5,8.6,5.2,13.2,20.3,111.9
19,Charlotte Hornets,57,242.2,40.4,89.9,.449,11.7,33.5,.350,28.6,56.4,.508,18.4,23.4,.786,10.1,34.4,44.4,23.2,7.1,5.2,12.5,19.3,110.8
20,Indiana Pacers,58,240.4,41.8,87.4,.478,9.4,25.4,.371,32.3,62.0,.522,15.1,20.0,.756,9.2,34.1,43.3,26.1,8.8,5.0,13.9,19.2,108.1
21,Phoenix Suns,59,242.5,39.9,87.2,.457,9.5,29.2,.326,30.3,58.0,.523,16.7,21.5,.775,9.1,31.0,40.1,23.8,9.0,5.0,15.9,24.0,105.9
22,Orlando Magic,59,241.3,39.9,88.5,.450,11.1,31.6,.352,28.7,56.9,.505,15.0,19.0,.786,9.4,34.9,44.4,24.9,6.6,5.6,13.5,19.2,105.8
23,Utah Jazz,57,240.0,39.4,85.4,.461,11.6,33.5,.346,27.8,52.0,.536,18.8,25.7,.733,9.7,35.6,45.3,25.0,8.3,5.5,15.3,21.0,109.2
