Rk,,AvAge,GP,W,L,OL,PTS,PTS%,GF,GA,SOW,SOL,SRS,SOS,TG/G,EVGF,EVGA,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,PIM/G,oPIM/G,S,S%,SA,SV%,SO
1,Tampa Bay Lightning,27.1,62,47,11,4,98,.790,239,162,5,1,1.26,-0.05,6.47,172,131,61,205,29.76,29,199,85.43,6,2,9.0,9.5,2006,11.9,1986,.918,6
2,Calgary Flames,27.4,62,39,16,7,85,.685,225,176,0,4,0.70,-0.02,6.47,161,129,48,217,22.12,42,197,78.68,16,5,9.0,10.4,1994,11.3,1794,.902,3
3,San Jose Sharks,29.2,63,37,18,8,82,.651,228,194,0,3,0.44,-0.05,6.70,172,157,47,188,25.00,33,182,81.87,9,4,8.9,9.6,2135,10.7,1789,.892,4
4,Boston Bruins,28.5,62,36,17,9,81,.653,183,156,2,3,0.38,-0.04,5.47,129,110,52,197,26.40,35,184,80.98,2,11,9.6,9.6,2021,9.1,1900,.918,6
5,New York Islanders,28.3,61,36,18,7,79,.648,175,141,3,5,0.51,-0.01,5.18,140,106,30,178,16.85,34,173,80.35,5,1,8.2,8.3,1725,10.1,1881,.925,8
6,Toronto Maple Leafs,27.4,61,37,20,4,78,.639,216,173,0,0,0.69,-0.02,6.38,178,137,35,160,21.88,30,158,81.01,3,6,6.4,7.0,1958,11.0,2000,.914,3
7,Winnipeg Jets,26.5,62,37,21,4,78,.629,208,184,2,1,0.34,-0.07,6.32,150,140,49,194,25.26,39,194,79.90,9,5,9.6,9.1,1965,10.6,2076,.911,1
8,Nashville Predators,28.6,64,36,23,5,77,.602,192,168,1,1,0.36,-0.02,5.63,159,123,27,214,12.62,38,198,80.81,6,7,8.5,10.3,2112,9.1,1901,.912,5
9,Washington Capitals,28.5,63,35,21,7,77,.611,210,202,3,1,0.13,-0.03,6.54,166,152,40,184,21.74,46,214,78.50,4,4,9.5,9.0,1887,11.1,2052,.902,3
10,Montreal Canadiens,27.6,62,33,22,7,73,.589,185,183,2,0,0.09,0.02,5.94,156,138,25,193,12.95,41,196,79.08,4,4,9.0,8.7,2066,9.0,1958,.907,3
11,Columbus Blue Jackets,26.3,61,35,23,3,73,.598,195,179,0,1,0.23,-0.02,6.13,163,149,27,174,15.52,26,161,83.85,5,4,6.7,6.9,1951,10.0,1815,.901,5
